status,year,age_0_14,age_15_24,age_25_44,age_45_64,age_65p,age_15_64,total_pop,dep_youth,dep_old,dep_total,pct_working_age,pct_seniors
Estimate,2008,687,576.6,1210.5,1245,630.2,3032.1,4349.3,0.22657564064509747,0.20784274924969495,0.4344183898947924,0.6971466672797921,0.14489687995769435
Estimate,2009,687.3,580.4,1220.4,1273.6,648.8,3074.4,4410.5,0.2235558157689305,0.21103304709862084,0.43458886286755133,0.6970638249631561,0.14710350300419453
Estimate,2010,686.3,584.8,1230.7,1296.3,667.5,3111.8,4465.6,0.22054759303297125,0.2145060736551192,0.4350536666880905,0.6968380508778216,0.1494759942672877
Estimate,2011,683.2,584.9,1235.4,1311.7,688.6,3132,4503.8,0.21813537675606642,0.2198595146871009,0.4379948914431674,0.6954127625560638,0.1528931124827923
Estimate,2012,682.2,593.7,1247.7,1329.1,718.2,3170.5,4570.9,0.2151711086579404,0.22652578457656522,0.4416968932345056,0.6936270756306199,0.15712441751077472
Estimate,2013,683.2,595.4,1258.9,1348,749.4,3202.3,4634.9,0.2133466570902164,0.2340192986291103,0.4473659557193267,0.6909102677511921,0.1616863362747848
Estimate,2014,687.3,598.8,1275.2,1370.9,780.5,3244.9,4712.7,0.21180930074886745,0.2405312952633363,0.4523405960122037,0.6885437222823435,0.165616313366011
Estimate,2015,693.3,588.1,1279.5,1391.6,812.9,3259.2,4765.5,0.21272091310751104,0.2494170348551792,0.4621379479626902,0.6839156436890148,0.1705802119399853
Estimate,2016,703.9,593,1306.5,1412.3,845.5,3311.9,4861.3,0.21253661040490351,0.2552915245025514,0.46782813490745495,0.6812786703145249,0.17392467035566617
Estimate,2017,711.8,602.6,1332.8,1409.6,877.4,3345,4934.2,0.21279521674140506,0.2623019431988042,0.47509715994020923,0.6779214462324187,0.17782011268290707
Estimate,2018,718.9,617.9,1369.3,1404.4,910.4,3391.7,5021,0.21195860482943657,0.2684199663885367,0.4803785712179733,0.675502887870942,0.18131846245767774
Estimate,2019,725.4,627.2,1413.9,1398.9,945.7,3439.9,5111,0.2108782232041629,0.274920782580889,0.48579900578505186,0.6730385443161808,0.18503228331050675
Estimate,2020,731.9,617.9,1452.6,1391.1,982.6,3461.6,5176.1,0.2114340189507742,0.2838571758724289,0.49529119482320316,0.6687660593883425,0.18983404493730802
Estimate,2021,734.5,597.7,1492.4,1384,1018.1,3474.1,5226.7,0.21142166316456062,0.2930543162257851,0.5044759793903457,0.6646832609485909,0.1947882985440144
Estimate,2022,741.9,620,1557.5,1384.5,1053.6,3562,5357.5,0.20828186412128016,0.2957888826501965,0.5040707467714767,0.6648623425104992,0.19665888940737283
Estimate,2023,747.5,650.5,1655,1388.2,1090.3,3693.7,5531.6,0.20237160570701465,0.29517827652489376,0.4975498822319084,0.6677453178103984,0.19710391206884081
Estimate,2024,752.9,684.3,1735,1398.8,1127.3,3818.2,5698.4,0.1971871562516369,0.29524383217222777,0.4924309884238646,0.6700477326968974,0.1978274603397445
Projection,2025,745.9,667.3,1722.9,1394.2,1167.2,3784.4,5697.5,0.1970986153683543,0.3084240566536307,0.505522672021985,0.6642211496270294,0.20486178148310663
